,Customer,DBA Name,TDLR Number,City,State,Zip code
113,AVILES & GABES WRECKER SERVICE INC,,0633073VSF (Expired!),AUSTIN,TX,78728
114,AVILES & GABES WRECKER SERVICE INC,GABES WRECKER,006330740C,MANOR,TX,78653
115,AVILES AND GABES WRECKER SERVICE INC,,0641068VSF,AUSTIN,TX,78728
116,AVILES AND GABES WRECKER SERVICE INC,OMG STORAGE SERVICE,0651967VSF,MANOR,TX,78653
117,AVILES TRANSPORT AND WRECKER SERVICE,,005844281C,AUSTIN,TX,78728
118,B & B AND SONS WRECKER SERVICE LLC,B & B AND SONS WRECKER SERVICE LLC,006491270C,RIO GRANDE CITY,TX,78582
119,B & B WRECKER LLC,B & B WRECKER SERVICE,0654804VSF,PECOS,TX,79772
120,B & B WRECKER SERVICE,,0000244VSF,PECOS,TX,79772
121,B & B WRECKER SERVICE,B&B WRECKER SERVICE,005069002C,PECOS,TX,79772
122,"B & S WRECKER SERVICES, LLC.",,0656082VSF,ABILENE,TX,79602
123,"B & S WRECKER SERVICES, LLC.",,006560896C,ABILENE,TX,79602
124,B & S WRECKERS,,0517802VSF,VICTORIA,TX,77902
125,B & S WRECKERS,,005060731C,VICTORIA,TX,77902
127,B & W WRECKER SERVICE,,0000037728 (Suspended!),BURLESON,TX,76028
128,B & W WRECKER SERVICE,,0570142VSF (Suspended!),BURLESON,TX,76028
129,"B & W WRECKER SERVICES, LLC",,0660073VSF,LILLIAN,TX,76061
130,"B & W WRECKER SERVICES, LLC",,006599918C,LILLIAN,TX,76061
131,B&B AND SONS WRECKER SERVICE LLC,B&B AND SONS WRECKER SERVICE LLC,0645668VSF (Insurance not applied !),RIO GRANDE CITY,TX,78582
132,B. I. G. WRECKER SERVICES,,006234163C,GRAND PRAIRIE,TX,75052
133,BALDE'S TIRE AND WRECKER SERVICE,,0655517VSF,EAGLE PASS,TX,78852
134,BANNER WRECKER SERVICE,,0000038048 (Expired!),PECOS,TX,79772
135,BARBEE WRECKER SERVICE INC,,0648634VSF,FORT STOCKTON,TX,79735
136,BARBEE WRECKER SERVICE INC,,006485304C,FORT STOCKTON,TX,79735
137,BARRERA WRECKER SERVICE LLC,,006569573C,CLEVELAND,TX,77328
138,"BARRY'S AUTO & WRECKER SERVICE, INC.",BARRYS,005052811C,DUNCANVILLE,TX,75116
139,BAYTOWN WRECKER SERVICE INC,BAYTOWN COLLISION CENTER,006503369C,LEAGUE CITY,TX,77573
140,"BB'S WRECKER SERVICE, LLC",,006557352C,SARITA,TX,78385
141,BCD WRECKER SERVICE,,006409638C (Expired!),CHANNELVIEW,TX,77530
142,BENSON BROS WRECKER SERVICE INC,,0647622VSF,COMMERCE,TX,75429
143,BENSON BROS WRECKER SERVICE INC,MORGANS WRECKER SERVICE,0656707VSF,COMMERCE,TX,75429
144,BENSON BROS WRECKER SERVICE INC.,MORGANS WRECKER SERVICE,006567062C,COMMERCE,TX,75429
145,BENSON BROS. WRECKER SERVICE INC.,,0646178VSF,COMMERCE,TX,75429
146,BENSON BROS. WRECKER SERVICE INC.,,0572249VSF,COMMERCE,TX,75429
148,"BENSON BROTHERS WRECKER SERVICE, INC.",,0000038013,COMMERCE,TX,75428
149,BERGER'S WRECKER SERVICE,,005286285C,LA GRANGE,TX,78945
150,BEST WRECKER LLC,,006564930C,CASTROVILLE,TX,78009
151,BIG DADDY'S WRECKER SERVICE LLC,,0658284VSF,HILLSBORO,TX,76645
152,BIG DADDY'S WRECKER SERVICE LLC,,006582853C,HILLSBORO,TX,76645
153,BIG JOHN'S WRECKER SERVICE LLC,LONGHORN WRECKER SERVICE,006076812C,WEATHERFORD,TX,76086
154,BIG JOHN'S WRECKER STORAGE FACILITY,LONGHORN WRECKER STORAGE FACILITY,0608106VSF,WEATHERFORD,TX,76086
155,"BIG STATE WRECKER & AUTO SALVAGE, INC.",BIG STATE WRECKER,005060951C,VICTORIA,TX,77901
156,"BIG STATE WRECKER & AUTO SALVAGE, INC.",BIG STATE WRECKER,0000293VSF,VICTORIA,TX,77901
157,BIG STATE WRECKERS LLC,BIG STATE WRECKERS,006554290C,SAN ANTONIO,TX,78221
158,BIG STATE WRECKERS LLC,BIG STATE WRECKERS,0655430VSF,SAN ANTONIO,TX,78221
159,BIGBIRD'S WRECKER SERVICE,,0644331VSF,LUMBERTON,TX,77657
160,BIGBIRD'S WRECKER SERVICE,,006430403C,LUMBERTON,TX,77657
161,BIGBIRD'S WRECKER SERVICE,,0648279VSF,LUMBERTON,TX,77657
162,BILL'S BODY SHOP AND WRECKER SERVICE,,0559270VSF,VALLEY MILLS,TX,76689
163,BIVIN'S WRECKER SERVICE,,0647383VSF,FORT WORTYH,TX,76106
164,BIVINS WRECKER SERVICE INC.,,005045840C,FORT WORTH,TX,76106
165,BLACKBURN WRECKER,,006434536C,SPUR,TX,79370
166,BLACKBURN WRECKER,,0646015VSF,SPUR,TX,79370
167,"BLUE AND WHITE WRECKER SERVICE, LLC",,006571274C,DALLAS,TX,75228
169,BOB DOUTHIT AUTOS WRECKER SERVICE INC.,,0642386VSF (Expired!),PAMPA,TX,79066
170,BRIAN'S WRECKER SERVICE,,005052491C (Expired!),PORT ARTHUR,TX,77642
171,BRONCO WRECKER SERVICE,,0651461VSF,EDINBURG,TX,78541
172,BROTHERS BODY SHOP & WRECKER SERVICE INC,AMERICAN TOWING,006473054C,PORT ARTHUR,TX,77642
173,BROTHERS BODY SHOP & WRECKER SERVICE INC,AMERICAN TOWING,0646992VSF,PORT ARTHUR,TX,77642
174,BROTHERS BODY SHOP & WRECKER SERVICE INC,AMERICAN TOWING,0648768VSF,PORT ARTHUR,TX,77642
175,"BUBBA'S WRECKER AND TRANSPORTATION, LLC",,0653764VSF,KILGORE,TX,75662
176,"BUBBA'S WRECKER AND TRANSPORTATION, LLC",,006533112C,KILGORE,TX,75662
177,"BUBBA'S WRECKER AND TRANSPORTATION, LLC",,0657952VSF,KILGORE,TX,75662
178,BUBIE'S WRECKER SERVICE,,0000039118,SAN ANTONIO,TX,78221
179,BUENTELLO WRECKER SERVICE LLC,,0653187VSF,ROSENBERG,TX,77471
180,BUENTELLO WRECKER SERVICE LLC,BUENTELLO WRECKER SERVICE LLC,0651156VSF,RICHMOND,TX,77469
181,BUENTELLO WRECKER SERVICE LLC,,006494762C,ROSENBERG,TX,77471
182,BUENTELLO WRECKER SERVICE LLC,,0657278VSF,ROSENBERG,TX,77471
183,BUENTELLO WRECKER SERVICE LLC,,0655656VSF,ROSENBERG,TX,77471
184,BUENTELLO WRECKER SERVICE LLC,,0658687VSF,RICHMOND,TX,77469
185,BURDEN'S AUTO & WRECKER SERVICE,BURDEN'S AUTO & WRECKER SERVICE,005203588C,BURKBURNETT,TX,76354
186,BUSH WRECKER SERVICE,,0000037750,LEVELLAND,TX,79336
187,BUSH WRECKER SERVICE,,0644388VSF,LEVELLAND,TX,79336
188,BUSSE WRECKER SERVICE LLC,,006501287C,NAVASOTA,TX,77868
190,BUSSE WRECKER SERVICE LLC,,0653871VSF,NAVASOTA,TX,77868
191,C E CEDAR PARK WRECKER SERVICE INC,,0656770VSF (Suspended!),CEDAR PARK,TX,78630
192,CANTU WRECKERS,,005047540C,EAGLE PASS,TX,78852
193,CAPITAL WRECKER INC,,0658814VSF (Suspended!),SAN BENITO,TX,78586
194,CAPITAL WRECKER SERVICE LLC,ZAK'S TOWING,006555802C,MCKINNEY,TX,75070
195,"CAPITAL WRECKER, INC",,006559253C,SAN BENITO,TX,78586
196,"CAPITAL WRECKER, INC",,0659161VSF,SAN BENITO,TX,78586
197,"CASA VIEW WRECKER SERVICE,LLC",CASA VIEW WRECKER SERVICE,005161954C,MESQUITE,TX,75150
198,CASEY'S WRECKER SERVICE,,005031249C (Expired!),EULESS,TX,76040
199,CASTRO'S WRECKER SERVICE,,005450148C,FORT WORTH,TX,76164
200,CATHEY WRECKER SERVICE LLC,,006590991C,ROWLETT,TX,75088
201,CATHEY WRECKER SERVICE LLC,,0659100VSF,ROWLETT,TX,75088
202,CATRACHO'S WRECKER CORPORATION,,006490229C,HOUSTON,TX,77093
203,CC WRECKER SERVICE,,0657320VSF,CORPUS CHRISTI,TX,78468
204,CC WRECKER SERVICES,,006497854C,CORPUS CHRISTI,TX,78468
205,CE CEDAR PARK WRECKER SERVICE INC,CEDAR PARK WRECKER SERVICE,0651166VSF (Suspended!),CEDAR PARK,TX,78630
206,CE CEDAR PARK WRECKER SERVICE INC.,CPW SERVICE,005963982C (Expired!),CEDAR PARK,TX,78630
207,"CE CEDAR PARK WRECKER SERVICE,INC.",,0596469VSF (Suspended!),CEDAR PARK,TX,78630
208,CENTRAL WRECKER,,005527205C,PALMVIEW,TX,78574
209,CHARLIE HINDS WRECKER SERVICE INC,,0653427VSF,PASADENA,TX,77503
211,CHARLIE HINDS WRECKER SERVICE INC.,CHARLIE HINDS WRECKER SERVICE,0641846VSF,PASADENA,TX,77503
212,CHARLIE HINDS WRECKER SERVICE INC.,CHARLIE HINDS WRECKER SERVICE,005151713C,PASADENA,TX,77503
213,CHARLIE'S WRECKER SERVICE,,005054761C,THREE RIVERS,TX,78071
214,CHARLIE'S WRECKER SERVICE & STORAGE FAC,,0642455VSF,THREE RIVERS,TX,78071
215,CHARLIE'S WRECKER SERVICE LLC,CHARLIE'S WRECKER SERVICE LLC,006505771C,CLIFTON,TX,76634
216,"CHARLIE'S WRECKER SERVICE, LLC",,0651201VSF,CLIFTON,TX,76634
217,CHAVEZ WRECKER SERVICE,,006433936C,MERCEDES,TX,78570
218,CHEROKEE WRECKER SERVICE,,006509152C (Expired!),JACKSONVILLE,TX,75766
219,CHESNUT WRECKER SERVICE,,0524263VSF (Expired!),STRAWN,TX,76475
220,CHESNUT WRECKER SERVICE,,005301216C,STRAWN,TX,76475
221,CHINOS WRECKERS LLC,,006573196C,BROWNSVILLE,TX,78521
222,CHINOS WRECKERS LLC,,0657688VSF,BROWNSVILLE,TX,78526
223,CHOTE'S WRECKER SERVICE INC,,006564559C,AUSTIN,TX,78703
224,CHUCK'S WRECKER SERVICE,,0000036522,BEAUMONT,TX,77701
225,"CHUCK'S WRECKER SERVICE, INC.",,0513643VSF,BEAUMONT,TX,77701
226,CINDY'S WRECKER SERVICE LLC,,006534372C,FALFURRIAS,TX,78355
227,CINDY'S WRECKER SERVICE LLC,,0653438VSF,FALFURRIAS,TX,78355
228,CINDY'S WRECKER SERVICE LLC,,0653439VSF,FALFURRIAS,TX,78355
229,CINDY'S WRECKER SERVICE LLC,,0653440VSF (Expired!),FALFURRIAS,TX,78355
230,CINDY'S WRECKER SERVICE LLC,,0653441VSF,FALFURRIAS,TX,78355
232,CINDY'S WRECKER SERVICE LLC,,0658455VSF (Expired!),FALFURRIAS,TX,78355
233,CISCO WRECKER SRVC TOWING & RECOVERY LLC,,006554821C,CISCO,TX,76437
234,CISCO WRECKER SRVC TOWING & RECOVERY LLC,,0655483VSF,CISCO,TX,76437
235,CITY BODY WRECKER SERVICE,,006507491C,HUGO,OK,74743
236,CITY WRECKER,RICARDO RIOS JR DBA CITY WRECKER,0565254VSF,BROWNSVILLE,TX,78526
237,CITY WRECKER,,005667219C,BROWNSVILLE,TX,78526
238,CLARK'S AUTO PARTS & WRECKER SERVICE,,0514813VSF,SAN ANGELO,TX,76903
239,CLARK'S AUTO PARTS & WRECKER SERVICE,,005016288C,SAN ANGELO,TX,76903
240,COBB'S BODY SHOP & WRECKER SERVICE,,005760782C,NAPLES,TX,75568
241,COBB'S BODY SHOP & WRECKER SERVICE,,0576079VSF,NAPLES,TX,75568
242,COLE'S GARAGE & WRECKER SER,,0581985VSF,MARSHALL,TX,75670
243,COLE'S WRECKER SERVICE,,005248882C,FULSHEAR,TX,77441
244,COLLISION CENTER WRECKER SERVICE,,0560205VSF,PHARR,TX,78577
245,COLLISION CENTER WRECKER SERVICE,,005606853C,PHARR,TX,78577
246,COLOMBIA WRECKER SERVICE,COL WRECKER,005688813C,HOUSTON,TX,77063
247,COME AND TAKE IT WRECKER LLC,BROTHERZ TOWING & RECOVERY,006577951C,WILLS POINT,TX,75169
248,COME AND TAKE IT WRECKER LLC,BROTHERZ TOWING & RECOVERY,0658705VSF,WILLS POINT,TX,75169
249,"COMMERCIAL WRECKER SERVICE, INC.",COMMERCIAL WRECKER,005701995C,SAN ANTONIO,TX,78283
250,CORTEZ WRECKER SERVICE,,0535295VSF,PHARR,TX,78577
251,CORTEZ WRECKER SERVICE,,006467772C,PHARR,TX,78577
253,COYIN WRECKER SERVICE LLC,,006576570C,HOUSTON,TX,77017
254,"CROSSFIRE WRECKER SERVICE, INC",,0650679VSF (Suspended!),GEORGE WEST,TX,78022
255,"CROSSFIRE WRECKER SERVICE, INC.",,006504280C (Suspended!),GEORGE WEST,TX,78022
256,CROSSROADS WRECKER SERVICE,,0000037499,HOUSTON,TX,77018
257,CROWN WEST WRECKER II,,0646308VSF,HEMPSTEAD,TX,77445
258,CROWN WRECKER SERVICE INC,,0654272VSF,RICHMOND,TX,77469
259,CROWN WRECKER SERVICE INC,,006542730C,RICHMOND,TX,77469
260,D & E WRECKER SERVICE,,006419567C,RIO GRANDE,TX,78582
261,D & S WRECKER AND SERVICE,,0651133VSF,CARTHAGE,TX,75633
262,D & T WRECKER LLC,,006412151C,HARWOOD,TX,78632
263,D & T WRECKER LLC,,0641216VSF,HARWOOD,TX,78632
264,D & T WRECKER LLC,,0655531VSF,HARWOOD,TX,78632
265,D.C. WRECKER,,005058861C,CYPRESS,TX,77429
266,DAMON'S WRECKER SERVICE,,005066662C,CAMERON,TX,76520
267,DAMON'S WRECKER SERVICE,DAMON'S WRECKER SERVICE,0647972VSF,CAMERON,TX,76520
268,"DAN WHEELER WRECKER SERVICE, INC.",,0000030383,CENTERVILLE,TX,77206
269,DAN'S WRECKER SERVICE,,005844191C,MAXWELL,TX,78656
270,DANNY'S WRECKER SERVICE INC.,,0000037523,ALICE,TX,78332
271,"DANNY'S WRECKER SERVICE, INC.",,0000557VSF (Expired!),ALICE,TX,78332
272,DAVE'S HI-WAY WRECKER SERVICE INC.,,0593307VSF,GRAND PRAIRIE,TX,75050
274,DAVE'S HI-WAY WRECKER SERVICE.INC,,005316007C,GRAND PRAIRIE,TX,75050
275,DAVID & SON WRECKER,,005053521C,HOUSTON,TX,77093
276,DE LA ROSA WRECKING,,0600095VSF,PHARR,TX,78577
277,DE LA ROSA WRECKING,,006452228C,PHARR,TX,78577
278,DE LEON WRECKER SERVICE,,006429953C,RIO BRAVO,TX,78046
279,DE LEON WRECKER SERVICE,,0642996VSF,RIO BRAVO,TX,78046
280,DERWRECK'S,,006556022C (Expired!),EDNA,TX,77957
281,DERWRECKS,,0655603VSF (Expired!),EDNA,TX,77957
282,DEXTER'S WRECKER SERVICES,DEXTER'S WRECKER SERVICES,006468082C (Insurance not applied !),HOUSTON,TX,77060
283,DIAMANTE WRECKER SERVICE LLC,,006596184C,CYPRESS,TX,77429
284,DIAZ & SON'S WRECKER SERVICE LLC,,006598707C,SAN JUAN,TX,78589
285,DMWRECKERSERVICESINC,,006532171C,FORT WORTH,TX,76164
286,DON'S AUTO SALVAGE & WRECKER SERVICE,,005030819C,PINELAND,TX,75968
287,DON'S AUTO SALVAGE & WRECKER SERVICE,,0000751VSF,PINELAND,TX,75968
288,"DOUTHIT, BOB AUTOS WRECKER SERVICE, INC",,005730487C,PAMPA,TX,79066
289,"DOUTHIT, BOB AUTOS, WRECKER SERVICE, INC",,0573044VSF (Expired!),PAMPA,TX,79066
290,DOWNTOWN WRECKER SERVICE INC.,,005057481C (Suspended!),HOUSTON,TX,77003
291,E&L WRECKER SERVICE LLC,,006595754C,CHANNELVIEW,TX,77530
292,EARL'S WRECKER SERVICE INC.,LONE STAR TOWING,005039420C,FORT WORTH,TX,76106
293,EARL'S WRECKER SERVICE INC.,LONE STAR TOWING,0647382VSF,FORT WORTH,TX,76106
295,"ED'S GARAGE & A-1 WRECKER SERVICE, INC.",,0000037705 (Expired!),ENNIS,TX,75120
296,"EDDIE'S WRECKER SERVICE, LLC",FAST EDDIES WRECKER SERVICE,006530760C,FORT WORTH,TX,76179
297,EMERGENCY PERFORMANCE WRECKER SERVICE,,005022778C,HOUSTON,TX,77234
298,ERVIN GARAGE & WRECKER SERVICE,,0641013VSF,DIANA,TX,75640
299,ERVIN WRECKER SERVICE,,006410129C,DIANA,TX,75640
300,"ESCALERA WRECKER, INC.",,005482591C,MISSION,TX,78573
301,"ESCALERA WRECKER, INC.",,0548371VSF,MISSION,TX,78572
302,ESCAMILLA WRECKER SERVICE INC.,ESCAMILLA WRECKER SERVICE,005454058C,HEBBRONVILLE,TX,78361
303,ESPINOZA WRECKER SERVICE,ESPINOZA WRECKER SERVICE,006403204C,PASADENA,TX,77502
304,"EULESS WRECKER SERVICE, INC.",EULESS B&B WRECKER SERVICE,0001090VSF,EULESS,TX,76040
305,"EULESS WRECKER SERVICE, INC.",EULESS B&B WRECKER SERVICE,005063462C,EULESS,TX,76040
306,"EXTREME TOWING & WRECKER, LLC.",,0660033VSF (Pending Review!),EL PASO,TX,79901
307,FAZ WRECKER SERVICE,,005826248C,DALLAS,TX,75223
308,FEFO'S WRECKER SERVICE,,005968593C,DALLAS,TX,75220
309,FERNANDEZ AND SONS WRECKER SERVICE LLC,,006559314C,WALLIS,TX,77485
310,FINCHERS WRECKER SERVICE LLC,FINCHERS WRECKER SERVICE,006521312C (Suspended!),GATESVILLE,TX,76528
311,FINCHERS WRECKER SERVICE LLC,FINCHERS WRECKER SERVICE LLC,0652132VSF (Suspended!),GATESVILLE,TX,76528
312,FIVE STAR WRECKER SERVICE INC,,0653339VSF,BOERNE,TX,78006
313,"FIVE STAR WRECKER SERVICE, INC.",,005015678C,BOERNE,TX,78006
314,"FM 600 WRECKING, INC.",,005040190C,ABILENE,TX,79601
316,FOUR BODY SHOP & WRECKER SERVICE LLC,,006553149C,CARRIZO SPRINGS,TX,78834
317,FOUR BODY SHOP & WRECKER SERVICE LLC,,0655315VSF,CARRIZO SPRINGS,TX,78834
318,"FUZION WRECKER & CRANE SERVICES, LLC",,006555251C,LAREDO,TX,78045
319,GARCIA WRECKER SERVICE,,005119798C,PALMVIEW,TX,78574
320,GARCIA WRECKER SERVICE,,0595382VSF,PALMVIEW,TX,78574
